t [s]	Delta P [bar]
100	3.763
200	3.765
300	3.781
400	3.789
500	3.805
600	3.810
700	3.816
800	3.821
900	3.850
1000	3.855
1100	3.853
1200	3.860
1300	3.877
1400	3.878
1500	3.873
1600	3.880
1700	3.900
1800	3.898
1900	3.906
2000	3.907
2100	3.905
2200	3.920
2300	3.922
2400	3.943
2500	3.941
2600	3.926
2700	3.937
2800	3.934
2900	3.957
3000	3.953
3100	3.962
3200	3.948
3300	3.972
3400	3.969
3500	3.973
3600	3.987
3700	3.972
3800	3.968
3900	3.980
4000	3.975
4100	3.979
4200	3.979
4300	3.979
4400	3.989
4500	3.991
4600	3.994
4700	4.007
4800	4.002
4900	4.015
5000	4.016
5100	4.016
5200	4.006
5300	4.005
5400	4.008
5500	4.017
5600	4.018
5700	4.019
5800	4.004
5900	4.019
6000	4.020
6100	4.017
6200	4.004
6300	4.019
6400	4.022
6500	4.019
6600	4.026
6700	4.026
6800	4.010
6900	4.035
7000	4.036
7100	4.023
7200	4.020
7300	4.024
7400	4.051
7500	4.038
7600	4.047
7700	4.041
7800	4.055
7900	4.038
8000	4.043
8100	4.029
8200	4.051
8300	4.063
8400	4.043
8500	4.042
8600	4.052
8700	4.052
8800	4.051
8900	4.057
9000	4.051
9100	4.039
9200	4.046
9300	4.069
9400	4.065
9500	4.072
9600	4.056
9700	4.071
9800	4.076
9900	4.051
10000	4.072
10100	4.049
10200	4.074
10300	4.073
10400	4.066
10500	4.055
10600	4.077
10700	4.072
10800	4.065
10900	4.056
11000	4.084
11100	4.085
11200	4.078
11300	4.087
11400	4.084
11500	4.078
11600	4.079
11700	4.091
11800	4.082
11900	4.096
12000	4.080
12100	4.081
12200	4.088
12300	4.082
12400	4.104
12500	4.091
12600	4.093
12700	4.099
12800	4.091
12900	4.103
13000	4.086
13100	4.100
13200	4.100
13300	4.097
13400	4.095
13500	4.101
13600	4.092
13700	4.097
13800	4.087
13900	4.114
14000	4.101
14100	4.097
14200	4.102
14300	4.103
14400	4.095
14500	4.106
14600	4.115
14700	4.098
14800	4.122
14900	4.097
15000	4.109
15100	4.109
15200	4.099
15300	4.101
15400	4.117
15500	4.114
15600	4.104
15700	4.118
15800	4.123
15900	4.116
16000	4.120
16100	4.120
16200	4.127
16300	4.128
16400	4.123
16500	4.129
16600	4.116
16700	4.124
16800	4.121
16900	4.119
17000	4.127
